gender,race,income
1,5,3000.0
2,5,3000.0
2,5,1100.0
2,5,1100.0
2,5,460.0
1,2,10000.0
2,3,500.0
2,3,622.0
2,2,622.0
1,3,1200.0
2,2,0.0
1,3,1000.0
2,3,0.0
2,3,1200.0
1,3,0.0
1,3,0.0
2,3,622.0
1,3,7000.0
2,3,0.0
1,3,1700.0
1,5,0.0
1,3,5000.0
2,2,0.0
1,3,0.0
1,5,2000.0
2,3,0.0
1,3,622.0
2,3,800.0
1,3,0.0
1,5,6000.0
2,5,2500.0
1,5,0.0
2,3,980.0
1,5,1500.0
2,5,1500.0
1,5,2000.0
2,5,2000.0
2,5,622.0
1,2,4350.0
2,3,0.0
2,3,0.0
2,3,0.0
2,5,0.0
1,3,7000.0
2,3,0.0
1,5,3000.0
2,5,622.0
1,5,622.0
2,3,300.0
2,3,0.0
1,3,0.0
2,2,772.0
2,2,622.0
2,3,500.0
1,3,0.0
1,5,0.0
2,5,622.0
1,5,2000.0
2,3,1000.0
2,3,0.0
2,5,1600.0
1,5,1500.0
2,5,0.0
2,3,282.0
1,5,0.0
1,5,6000.0
2,5,1800.0
1,5,4500.0
1,5,0.0
1,3,2050.0
2,5,1900.0
2,3,1900.0
2,5,0.0
1,5,1200.0
2,5,0.0
2,5,0.0
2,5,0.0
2,5,0.0
1,5,0.0
2,5,2200.0
1,5,4000.0
1,3,1000.0
2,3,550.0
1,3,800.0
2,3,600.0
2,3,622.0
1,3,1000.0
2,3,0.0
1,5,622.0
2,5,2200.0
1,5,950.0
1,3,622.0
2,3,600.0
1,3,622.0
2,5,622.0
1,2,622.0
1,5,622.0
2,5,622.0
2,3,0.0
1,3,600.0
1,5,0.0
2,3,250.0
1,3,1200.0
2,3,0.0
1,3,0.0
2,3,1244.0
1,3,622.0
1,3,0.0
2,3,622.0
1,3,622.0
1,3,622.0
2,3,680.0
1,3,622.0
1,5,622.0
2,5,622.0
1,3,2000.0
2,5,400.0
1,3,1000.0
1,3,0.0
2,5,622.0
2,3,170.0
2,3,0.0
2,3,0.0
1,3,0.0
2,2,100.0
1,5,1800.0
1,3,0.0
1,5,0.0
1,3,800.0
2,2,400.0
2,5,622.0
2,5,0.0
1,2,622.0
2,3,622.0
1,3,1500.0
2,5,1200.0
2,5,0.0
2,3,0.0
1,3,1500.0
2,5,1244.0
1,5,1500.0
2,5,0.0
2,5,622.0
1,5,1000.0
2,5,1000.0
2,5,0.0
1,5,800.0
1,5,1200.0
2,3,0.0
1,5,600.0
2,3,300.0
2,3,0.0
1,5,622.0
2,5,0.0
1,5,1300.0
2,5,0.0
2,5,0.0
1,2,800.0
2,3,0.0
2,2,0.0
1,2,622.0
1,3,800.0
2,5,0.0
1,3,0.0
2,3,0.0
2,5,0.0
2,5,622.0
1,5,0.0
1,5,1200.0
2,3,0.0
1,5,1600.0
2,3,0.0
1,5,1500.0
2,5,700.0
2,3,825.0
2,3,200.0
2,3,0.0
2,3,0.0
1,5,1200.0
2,5,0.0
1,2,700.0
2,3,102.0
2,2,0.0
2,3,1300.0
2,3,0.0
